t d dw dc
0.198 0.04511891132 -0.2732785522 0.04511854368
0.1985 0.04118673589 -0.2764594779 0.04118640029
0.199 0.03728551156 -0.2794008576 0.03728520775
0.1995 0.03341267086 -0.2821019726 0.0334123986
0.2 0.02956556336 -0.2845625422 0.02956532245
0.2005 0.02574146353 -0.2867827237 0.02574125378
0.201 0.02193757881 -0.288763112 0.02193740006
0.2015 0.01815105783 -0.2905047375 0.01815090993
0.202 0.01437899878 -0.2920090635 0.01437888161
0.2025 0.01061845785 -0.2932779834 0.01061837132
0.203 0.006866457835 -0.2943138153 0.006866401886
0.2035 0.003119996786 -0.2951192977 0.003119971363
0.204 -0.0006239433095 -0.2956975828 -0.0006239382254
0.2045 -0.004368387758 -0.2960522301 -0.004368352163
0.205 -0.008116360407 -0.2961871982 -0.008116294273
0.2055 -0.01187087488 -0.2961068363 -0.01187077816
0.206 -0.01563492586 -0.295815875 -0.01563479846
0.2065 -0.01941148037 -0.295319416 -0.0194113222
0.207 -0.02320346915 -0.2946229212 -0.02320328008
0.2075 -0.02701377815 -0.2937322011 -0.02701355804
0.208 -0.03084524007 -0.2926534022 -0.03084498873
0.2085 -0.03470062601 -0.2913929942 -0.03470034326
0.209 -0.03858263736 -0.2899577562 -0.03858232298
0.2095 -0.04249389777 -0.2883547623 -0.04249355152
0.21 -0.04643694532 -0.2865913665 -0.04643656695
0.2105 -0.05041422489 -0.2846751875 -0.05041381411
0.211 -0.05442808077 -0.2826140924 -0.05442763727
0.2115 -0.05848074944 -0.28041618 -0.05848027293
0.212 -0.06257435274 -0.2780897641 -0.06257384287
0.2125 -0.06671089111 -0.2756433558 -0.06671034753
0.213 -0.07089223728 -0.2730856455 -0.07089165964
0.2135 -0.07512013021 -0.2704254849 -0.07511951811
0.214 -0.07939616927 -0.2676718683 -0.07939552234
0.2145 -0.08372180888 -0.2648339137 -0.0837211267
0.215 -0.08809835335 -0.2619208439 -0.08809763551
0.2155 -0.09252695218 -0.2589419667 -0.09252619825
0.216 -0.09700859567 -0.2559066561 -0.09700780523
0.2165 -0.1015441109 -0.2528243322 -0.1015432835
0.217 -0.1061341581 -0.2497044417 -0.1061332933
0.2175 -0.1107792276 -0.2465564381 -0.1107783249
0.218 -0.1154796364 -0.243389762 -0.1154786955
0.2185 -0.1202355267 -0.2402138214 -0.120234547
0.219 -0.125046863 -0.237037972 -0.1250458441
0.2195 -0.1299134309 -0.2338714979 -0.1299123723
0.22 -0.134834836 -0.230723592 -0.1348337373
0.2205 -0.1398105029 -0.2276033371 -0.1398093637
0.221 -0.1448396749 -0.224519687 -0.1448384947
0.2215 -0.1499214145 -0.2214814474 -0.1499201929
0.222 -0.1550546032 -0.2184972585 -0.1550533398
0.2225 -0.1602379432 -0.2155755761 -0.1602366376
0.223 -0.1654699582 -0.2127246548 -0.1654686099
0.2235 -0.1707489956 -0.2099525306 -0.1707476043
0.224 -0.1760732283 -0.2072670039 -0.1760717936
0.2245 -0.1814406579 -0.204675624 -0.1814391795
0.225 -0.1868491172 -0.2021856732 -0.1868475947
0.2255 -0.1922962738 -0.1998041515 -0.192294707
0.226 -0.1977796343 -0.1975377625 -0.1977780227
0.2265 -0.2032965478 -0.1953928996 -0.2032948913
0.227 -0.2088442112 -0.1933756324 -0.2088425095
0.2275 -0.2144196736 -0.1914916948 -0.2144179265
0.228 -0.2200198422 -0.1897464728 -0.2200180494
0.2285 -0.2256414873 -0.1881449935 -0.2256396487
0.229 -0.2312812488 -0.1866919151 -0.2312793643
0.2295 -0.2369356423 -0.1853915171 -0.2369337117
0.23 -0.2426010657 -0.1842476918 -0.2425990889
0.2305 -0.2482738061 -0.1832639361 -0.2482717831
0.231 -0.2539500471 -0.1824433449 -0.2539479779
0.2315 -0.2596258761 -0.1817886044 -0.2596237606
0.232 -0.2652972918 -0.1813019872 -0.2652951301
0.2325 -0.2709602125 -0.1809853472 -0.2709580046
0.233 -0.2766104839 -0.1808401168 -0.27660823
